,Track_ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Mode,Loudness,Tempo,Time_signature,Speechiness,Valence
33,2V4bv1fNWfTcyRJKmej6Sj,75,0.179,0.768,213293.0,0.82,0.0,7.0,0.689,0.0,-4.63,129.965,4.0,0.0474,0.625
34,60IGhnH20N82dNxKnc8jDd,71,0.432,0.715,203173.0,0.584,1.41e-06,8.0,0.095,1.0,-8.231,90.99,4.0,0.0296,0.609
35,393MDhe62s8hbH8ETrlxe5,75,0.389,0.671,294227.0,0.726,0.882,7.0,0.14,1.0,-8.689,102.002,4.0,0.0272,0.581
36,42qNWdLKCI41S4uzfamhFM,75,0.191,0.583,203600.0,0.888,4.58e-05,11.0,0.0936,0.0,-9.414,93.206,4.0,0.0349,0.706
37,1fBl642IhJOE5U319Gy2Go,70,0.000346,0.482,212293.0,0.833,0.0,5.0,0.365,1.0,-5.611,148.039,4.0,0.0449,0.74
38,7Ie9W94M7OjPoZVV216Xus,80,0.529,0.855,248133.0,0.954,0.0,0.0,0.205,0.0,-1.19,114.635,5.0,0.264,0.668
39,59dLtGBS26x7kc0rHbaPrq,75,0.386,0.688,268320.0,0.853,0.0,10.0,0.0862,1.0,-5.814,103.993,4.0,0.0493,0.743
40,4AYX69oFP3UOS1CFmV9UfO,71,0.0205,0.844,242013.0,0.601,0.0,1.0,0.385,1.0,-5.283,73.989,4.0,0.157,0.331
41,7LcfRTgAVTs5pQGEQgUEzN,70,0.0111,0.722,201160.0,0.758,0.0,11.0,0.308,0.0,-4.477,128.047,4.0,0.0471,0.62
42,6lV2MSQmRIkycDScNtrBXO,74,0.11,0.66,180480.0,0.867,0.0,6.0,0.0368,0.0,-4.285,93.033,4.0,0.116,0.377
43,2CEgGE6aESpnmtfiZwYlbV,79,0.00379,0.751,202613.0,0.783,0.0,4.0,0.036,1.0,-3.724,119.975,4.0,0.0859,0.816
44,6XkuklKiHYVTlVvWlTgQYP,71,0.063,0.687,192253.0,0.631,0.0,9.0,0.108,1.0,-5.612,186.071,4.0,0.129,0.853
45,3JA9Jsuxr4xgHXEawAdCp4,76,0.186,0.659,219427.0,0.628,0.0,0.0,0.105,0.0,-8.685,94.05,4.0,0.179,0.262
46,7l1qvxWjxcKpB9PCtBuTbU,74,0.851,0.589,197470.0,0.389,0.0,0.0,0.0772,1.0,-5.972,89.1,4.0,0.028,0.501
47,4DvhkX2ic4zWkQeWMwQ2qf,69,0.00676,0.435,216893.0,0.837,0.0,3.0,0.117,1.0,-8.126,124.913,4.0,0.449,0.778
48,45sDIKapDyxPl307QpEAwl,68,0.181,0.664,211253.0,0.845,0.0,4.0,0.267,0.0,-6.115,96.005,4.0,0.0461,0.357
49,1gv4xPanImH17bKZ9rOveR,76,0.0048,0.7,202960.0,0.709,0.0,7.0,0.029,1.0,-5.006,122.019,4.0,0.0838,0.624
50,3WGsYiBXmaT8XyY4Fmry2v,70,0.239,0.762,239147.0,0.387,0.00756,10.0,0.13,0.0,-8.643,109.959,4.0,0.0277,0.274
51,3U8dHeggJ8IBe0UCb1gbyB,69,0.455,0.667,273893.0,0.381,0.0,3.0,0.116,1.0,-7.494,135.975,4.0,0.0294,0.199
52,11EX5yhxr9Ihl3IN1asrfK,70,0.0927,0.587,277573.0,0.622,0.000636,4.0,0.2,1.0,-5.535,107.943,4.0,0.0303,0.231
53,0u4N6w5lBw5xMrzJitRWUo,73,0.0489,0.704,211453.0,0.83,0.0,11.0,0.111,1.0,-3.139,127.103,4.0,0.0297,0.957
54,5MMLS3xm12D7N26xlfFApr,70,0.263,0.658,148448.0,0.762,0.0,10.0,0.127,0.0,-3.028,163.864,4.0,0.0425,0.823
55,0q6LuUqGLUiCPP1cbdwFs3,76,1.51e-05,0.689,233867.0,0.739,0.509,2.0,0.064,1.0,-5.81,120.423,4.0,0.026,0.578
56,6BdgtqiV3oXNqBikezwdvC,68,0.0107,0.35,233560.0,0.845,0.0,7.0,0.123,1.0,-5.614,99.643,5.0,0.2,0.45
57,1bM50INir8voAkVoKuvEUI,72,0.198,0.781,269493.0,0.745,1.14e-05,4.0,0.36,0.0,-5.81,129.998,4.0,0.0332,0.326
58,3DrjZArsPsoqbLzUZZV1Id,68,0.117,0.529,293027.0,0.67,0.0,2.0,0.334,1.0,-4.663,141.893,4.0,0.0303,0.286
59,6KOEK6SeCEZOQkLj5M1PxH,69,0.0038,0.788,234653.0,0.753,0.0,0.0,0.18,1.0,-3.71,125.005,4.0,0.0536,0.403
60,1ExfPZEiahqhLyajhybFeS,71,0.3,0.794,189109.0,0.711,0.0,8.0,0.0955,0.0,-5.124,174.915,4.0,0.0699,0.955
61,3XaWuYsTtnkzCSBr0RmROc,77,0.0947,0.846,220057.0,0.747,0.0,1.0,0.159,0.0,-5.074,95.003,4.0,0.0533,0.517
62,0x3TibRgnSqzkcwrqBd4iX,72,0.0369,0.7,228453.0,0.598,0.0,2.0,0.111,1.0,-7.783,160.041,4.0,0.114,0.594
63,1kMuU3TNQvHbqvXCWBodmP,68,0.0435,0.376,271947.0,0.841,0.0,3.0,0.578,0.0,-4.348,76.052,4.0,0.356,0.463
64,2LZ2CNbcbJrwh53pitRgom,68,0.467,0.356,298680.0,0.67,0.000106,2.0,0.288,1.0,-5.825,135.032,4.0,0.0324,0.117
65,1YWSAC0JPLKpf0PVCie4T7,67,0.0511,0.698,300680.0,0.584,0.0,5.0,0.295,1.0,-5.067,115.08,4.0,0.0279,0.618
66,5YJtMNWKe55yr49cyJgxva,70,0.00281,0.633,197124.0,0.976,1.29e-05,8.0,0.382,1.0,-5.362,142.027,4.0,0.0519,0.493
67,3ZdJffjzJWFimSQyxgGIxN,74,0.0421,0.531,237800.0,0.752,0.0,1.0,0.12,1.0,-6.161,89.917,4.0,0.0305,0.103
68,4u26EevCNXMhlvE1xFBJwX,67,0.348,0.606,222773.0,0.497,0.0,4.0,0.275,1.0,-6.611,130.739,4.0,0.0277,0.362
69,4GRFzKI7jTZ3kbMfouc7bn,74,0.0666,0.6,186840.0,0.939,6.18e-06,7.0,0.34,1.0,-1.794,159.941,4.0,0.19,0.833
70,67T6l4q3zVjC5nZZPXByU8,66,0.0444,0.615,221253.0,0.711,0.0,11.0,0.145,1.0,-5.507,144.036,4.0,0.0779,0.711
71,5W7xC99N2Zzfh69r7I7zWK,69,0.0124,0.57,270627.0,0.58,0.0,1.0,0.0498,1.0,-5.547,171.812,4.0,0.21,0.404
72,1ZHYJ2Wwgxes4m8Ba88PeK,71,0.00244,0.628,378893.0,0.692,0.0129,2.0,0.668,1.0,-5.64,124.887,5.0,0.202,0.0963
73,1ia019RqDK2o4QiANR1Dyn,71,0.406,0.475,279307.0,0.882,0.0,11.0,0.241,1.0,-3.883,98.001,4.0,0.351,0.369
74,2p07VcUwRZ5sru3mJ0JogS,67,0.42,0.677,192800.0,0.776,0.000689,5.0,0.0954,1.0,-5.933,121.834,4.0,0.0386,0.642
75,29GefKRTSVW3ag4Xegm8jP,71,0.563,0.8,164632.0,0.569,0.0,9.0,0.111,0.0,-5.104,92.063,4.0,0.265,0.589
76,7yNK27ZTpHew0c55VvIJgm,71,0.274,0.599,280787.0,0.587,0.0,5.0,0.167,1.0,-5.919,87.998,4.0,0.0423,0.373
77,2gE58DQyqgsvsK87SWUN62,67,0.921,0.603,229880.0,0.341,0.00314,4.0,0.102,1.0,-8.892,113.452,4.0,0.0264,0.365
78,3LUWWox8YYykohBbHUrrxd,70,0.00987,0.736,204760.0,0.817,0.00167,8.0,0.117,1.0,-4.9,119.95,4.0,0.0407,0.653
79,4r6eNCsrZnQWJzzvFh4nlg,68,0.141,0.638,227893.0,0.832,0.0,8.0,0.113,1.0,-5.039,124.071,4.0,0.049,0.648
80,0DCu6lwtdiVjMixpQJcGG3,69,0.107,0.682,197929.0,0.934,0.0,4.0,0.749,0.0,-2.526,109.032,4.0,0.129,0.487
81,11ozIUBoXAgRTVWelDn4pL,66,0.0721,0.703,244267.0,0.731,0.00191,8.0,0.138,0.0,-6.283,120.028,4.0,0.0311,0.719
82,5omWAB5iNMHvbAfBSzkdu8,66,0.0116,0.488,187347.0,0.842,0.00127,6.0,0.146,1.0,-5.926,90.003,4.0,0.0469,0.41
83,23SZWX2IaDnxmhFsSLvkG2,70,0.0207,0.598,357653.0,0.713,0.000175,6.0,0.431,0.0,-3.625,91.964,4.0,0.0326,0.118
84,4ycLiPVzE5KamivXrAzGFG,66,0.129,0.69,222933.0,0.834,0.0,0.0,0.136,1.0,-5.79,127.43,4.0,0.0566,0.738
85,2Cd9iWfcOpGDHLz6tVA3G4,79,0.00627,0.766,202627.0,0.873,0.0,11.0,0.0764,0.0,-6.381,126.988,4.0,0.143,0.743
86,0dBW6ZsW8skfvoRfgeerBF,65,0.00265,0.624,230707.0,0.757,1.87e-06,7.0,0.189,1.0,-2.94,121.07,4.0,0.0296,0.658
